Name,Yearly Performance,Volatility
EXEL,-6.95381422,2.89937464
EYEN,4.11764706,4.28571429
EYES,312.8829156,31.75028725
EYPT,226.7441861,10.15384615
FATE,5.8565433,6.43352656
FBIO,22.93233083,6.77592575
FBRX,-91.47514698,5.37974684
FDMT,-40.98765432,4.78408129
FENC,20.02472188,2.60583942
FGEN,-71.48038993,5.93665661
FHTX,-20.29411765,1.56482861
FIXX,-42.8,6.89023506
FLDM,-19.53642384,4.84110169
FLXN,-20.71057192,1.09649123
FMTX,-55.00997009,3.39832869
FNA,23.08925708,6.45900137
FOLD,-47.08994709,8.00711744
FONR,-7.30452675,3.21864595
FREQ,-72.03687445,4.71544715
FRLN,-80.92369478,9.47368421
FSTX,20.86466165,7.24637681
FULC,51.69204738,4.79178551
FUSN,-50.38639876,12.5984252
FWBI,-69.42420346,14.35643564
FWP,2.33281493,4.01302852
GALT,3.66300366,3.95683453
GANX,-17.76785714,12.68170732
GBIO,-43.84168281,4.26706827
GBT,-21.56542056,3.74429224
GERN,-23.73737374,3.33333333
GHRS,19.58441558,9.05311778
GILD,9.70969329,1.81083508
GKOS,-25.91661739,3.89839949
GLMD,-19.14285714,6.36042403
GLSI,746.6346154,2.53634932
GLTO,-80.2928615,12.02531646
GLUE,3.35221907,14.04215013
GLYC,-50.24875622,7
GMDA,-50.3003003,7.51374465
GMED,26.25886525,2.71531608
GMTX,-60.99502488,9.41124367
GNCA,-22.38095238,5
GNPX,-37.85488959,9.94764398
GOSS,29.56043956,4.20315236
GOVX,71.33230582,41.37115839
GRAY,-89.00900901,6.29139073
GRCL,-54.98802873,3.33790581
GRPH,-36.97297297,7.39750446
GRTS,304.0892193,5.44090056
GRTX,-83.96946565,15.33742331
GRVI,-11.42857143,4.27698574
GTBP,59.15457092,6.04166667
GTHX,3.4107402,4.35714286
HAE,-44.9652617,4.28696413
HALO,-6.2285434,2.04512469
HAPP,-53.20967742,3.48837209
HARP,-52.63843648,6.09243697
HBIO,96.5,2.06451613
HCWB,-51.58730159,9.40766551
HEPA,-47.01492537,6.42857143
HGEN,-18.59356377,8.03709428
HLTH,-34.3,9.80275252
HOLX,1.63888889,2.09885828
HOOK,-64.6025878,3.68421053
HOTH,-43.19886364,5.95200997
HOWL,-0.93167702,3.48162476
HRC,60.40206186,0.16091658
HRMY,-6.39508421,2.00843045
HROW,55.12265512,4.52380952
HRTX,-40.40296925,4.45269017
HSDT,-42.11205044,3.10559006
HSKA,41.07657552,3.62567089
HSTO,-62.98051948,11.39285714
HTBX,-31.76144244,2.68944099
HTGM,18.23361823,6.63983903
HUMA,18.82109617,10.69418386
HZNP,50.55267945,2.05964585
IART,25.73755656,3.8512131
IBIO,-59.6374269,8.69565217
IBRX,-14.51027811,4.99265786
ICCC,62.24215087,1.50451244
ICLR,50.08671887,2.97237648
ICPT,-52.99323269,6.33290916
ICUI,30.94289509,2.30712136
ICVX,-23.39147841,9.10323838
IDRA,-73.57525084,8.60841424
IDXX,38.90972908,3.13422007
IDYA,72.70758123,4.92589364
IFRX,16.26794258,7.8891258
IGC,22.65625,4.66666667
IGMS,12.59066394,5.97691321
IIN,16.19631902,5.05319149
IINN,-26.52631579,8.93371758
IKNA,-47.8125,8.94588677
IKT,-80.50505051,11.35135135
ILMN,27.03809364,1.79919056
IMAB,82.01533986,14.32070542
IMCR,-12.26851852,5.21251002
IMGN,0.34662045,4.10714286
IMGO,36.27992634,9.15725047
IMNM,56.68122271,13.24626866
IMPL,-28,7.32635585
IMRA,-84.04773502,33.74233129
IMTX,16.20591039,7.00854701
IMUX,-50.32223416,3.41786108
IMVT,-84.59495352,3.10818888
INAB,-19.5,11.68996188
INBX,112.7845036,6.42180095
INCY,-20.80019282,1.908867
INDP,-49.46153846,7.30593607
INFI,41.95402299,4.62184874
INFU,23.81615599,6.09970674
INGN,-2.39206534,3.82645375
INKT,34.83333333,15.104375
INM,-57.44680851,5.14705882
INMB,48.00861141,8.19061802
INMD,344.1369606,6.20118538
INO,-37.43589744,3.92706872
INSM,-21.87182096,3.4655115
INSP,62.84705882,3.76249909
INVA,57.11695376,1.80127833
INZY,-61.96758387,6.25
IOBT,-28.9456869,9.87084871
IONS,-37.78327938,1.99042323
IOVA,-45.64556262,4.71095818
IRIX,345.2941177,7.02341137
IRMD,74.17247387,5.74536148
IRTC,-51.08636364,3.97249809
IRWD,2.92887029,2.88540808
ISEE,180.7495741,6.17206983
ISR,44.04283802,13.25166682
ISRG,44.61203806,3.11487523
ITCI,47.43867244,4.50201207
